resp,link,title
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/action-adventure-dvd-bluray/b?ie=UTF8&node=2650363011,Action & Adventure
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/animation-dvd-bluray/b?ie=UTF8&node=712256,Animation
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/anime-dvd-bluray/b?ie=UTF8&node=2650364011,Anime
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/classics-dvd-bluray/b?ie=UTF8&node=163345,Classics
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/comedy-dvd-bluray/b?ie=UTF8&node=2650366011,Comedy
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/documentaries-dvd-bluray/b?ie=UTF8&node=2650367011,Documentary
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/drama-dvd-bluray/b?ie=UTF8&node=2650368011,Drama
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/exercise-fitness-dvd/b?ie=UTF8&node=2662338011,Exercise & Fitness
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/s?ie=UTF8&rh=i%3Amovies-tv%2Cn%3A2625373011%2Cp_n_theme_browse-bin%3A2676835011,Faith & Spirituality
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Foreign-International-DVD/b?ie=UTF8&node=355667011,Foreign Language & International
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gay-lesbian-lgbt-dvd-bluray/b?ie=UTF8&node=2650370011,Gay & Lesbian
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/horror-dvd-bluray/b?ie=UTF8&node=2650371011,Horror
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/s?ie=UTF8&bbn=355673011&rh=i%3Amovies-tv%2Cn%3A2625373011%2Cn%3A%212644981011%2Cn%3A%212644982011%2Cn%3A%212998369011%2Cn%3A355667011%2Cn%3A355673011,Indian Cinema & Bollywood
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Art-House-International-DVD/b?ie=UTF8&node=163313,Indie & Art House
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/kids-family-dvd-bluray/b?ie=UTF8&node=2650365011,Kids & Family
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/concerts-dvd-bluray/b?ie=UTF8&node=2662339011,Music Videos & Concerts
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Romance-DVD/b?ie=UTF8&node=1240754011,Romance
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/scifi-dvd-bluray/b?ie=UTF8&node=2650376011,Science Fiction
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/westerns-dvd-bluray/b?ie=UTF8&node=2650382011,Western
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=15701066011&ref=MoviesHPBB_BBC,BBC
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/criterion-collection-dvd-bluray/b?ie=UTF8&node=285082&ref=MoviesHPBB_Criterion,Criterion Collection
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/stores/page/C0D15547-D1CB-415E-A6DB-4E4108F34FF5,Deadpool Franchise
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=15897257011&ref=MoviesHPBB_Disney,Disney
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=10510137011&ref=MoviesHPBB_FiftyShades,Fifty Shades of Grey
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=10453070011&ref=MoviesHPBB_GOT,Game of Thrones
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.amazon.jobs,Careers
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://blog.aboutamazon.com/?utm_source=gateway&utm_medium=footer,Blog
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.aboutamazon.com/?utm_source=gateway&utm_medium=footer,About Amazon
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.amazon.com/pr,Press Center
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.amazon.com/ir,Investor Relations
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/amazon-devices/b?ie=UTF8&node=2102313011,Amazon Devices
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fservices.amazon.com%2Fcontent%2Fsell-on-amazon.htm%2Fref%3Dfooter_soa%3Fld%3DAZFSSOA&source=standards&token=6D14D9F0E8CC2831C68BA56C95FCDC34988C3979,Sell on Amazon
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=10433090011&ref=MoviesHPBB_HBO,HBO
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=11624734011&ref=MoviesHPBB_Jurassic,Jurassic World
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=10498613011&ref=MoviesHPBB_Minions,Minions
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Movie-Collectibles/b?ie=UTF8&node=5227784011&ref=MoviesHPBB_collectibles,Movies & TV Collectibles
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/stores/page/E0039B71-485A-4998-BA41-F7D144597788%26ref%3DMoviesHPBB_Outlander,Outlander
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=16158077011&ref=MoviesHPBB_Paramount,Paramount
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=11634850011&ref=MoviesHPBB_Starz,Starz
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/search%3Frh%3Di%3Awarehouse-deals%2Cn%3A10158976011%26bbn%3D10158976011%26rw_html_to_wsrp%3D1/?ie=UTF8&ref=MoviesHPBB_warehouse,Warehouse Deals
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=15433258011&ref=MoviesHPBB_XMen,X-Men Franchise
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fwww.facebook.com%2FAmazonMoviesTV%2F%3Fref%3DMoviesHPBB_facebook&source=standards&token=94E7C2B2C4CCD3BE44CC66CE64A615BFB88E36F7,Facebook
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Ftwitter.com%2Famazon_movies%2F%3Fref%3DMoviesHPBB_twitter&source=standards&token=545842F5C705DEF7400A99D2DFA735733E5B7F0D,Twitter
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=6960520011,Award Winners
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/s?ie=UTF8&bbn=283155&rh=i%3Astripbooks%2Cn%3A283155%2Cp_n_special_merchandising_browse-bin%3A394172011,Bargain Books
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Fall-Reading-Books/b?ie=UTF8&node=5556316011,Fall Reading
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Best-Books-of-the-Month/b?ie=UTF8&node=390919011,Best Books of the Month
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=17276804011,Best Books of the Year
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=16568978011,Books in Spanish
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Childrens-Books/b?ie=UTF8&node=4,Children's Books
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Bargain-Books/b?ie=UTF8&node=45,Deals in Books
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Prime-Book-Box-for-Kids/dp/B072J4QS9F,Prime Book Box
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=11913537011,Top 20 Lists in Books
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.amazon.com/l/ref=map_1_b2b_GW_FT?node=17882322011,Sell Under Private Brands
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fservices.amazon.com%2Fhandmade%2Fhandmade.html%3Fld%3DAZUSHNDFooter&source=standards&token=0DB36349EAB72B987928A46EC862BDF86C9039B4,Sell on Amazon Handmade
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fservices.amazon.com%2Fselling-services%2Fbenefits.htm%3Fld%3DAZUSVAS-globalfooter&source=standards&token=C11D6CD96DB34C590F5368F18106AAC385ECAAC6,Sell Your Services on Amazon
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://services.amazon.com/amazon-business.html?ld=usb2bunifooter,Sell on Amazon Business
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://developer.amazon.com,Sell Your Apps on Amazon
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://affiliate-program.amazon.com/,Become an Affiliate
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,https://advertising.amazon.com/?ref=ext_amzn_ftr,Advertise Your Products
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/seller-account/mm-summary-page.html?ie=UTF8&ld=AZFooterSelfPublish&topic=200260520,Self-Publish with Us
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/b/?_encoding=UTF8&ld=AZUSSOA-seeall&node=13605942011,See all
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Digital-Copy-DVD/b?ie=UTF8&node=721726011&ref=MoviesHPBB_Digcopy,Digital Copy Information
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/promotions/details/popup/AWT354OR7BM1U/?ie=UTF8&ref=MoviesHPBB_POPG,Pre-order Price Guarantee
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.jobs,Careers
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://blog.aboutamazon.com/?utm_source=gateway&utm_medium=footer,Blog
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.aboutamazon.com/?utm_source=gateway&utm_medium=footer,About Amazon
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com/pr,Press Center
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com/ir,Investor Relations
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/amazon-devices/b?ie=UTF8&node=2102313011,Amazon Devices
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=8192263011,100 Books to Read in a Lifetime
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,http://www.amazon.com:80/gp/redirect.html?location=http://www.omnivoracious.com/&token=DEF1D0758E667C928314D8D6645CBCC4A8DBCD89&source=standards,Amazon Book Review Blog
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,https://www.amazon.com:443/gp/redirect.html?location=https://www.facebook.com/Amazon.comBooks&token=9EA8366686CD595ACE11E35907FA51DE74E7734F&source=standards,Amazon Books on Facebook
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,http://www.amazon.com:80/gp/redirect.html?location=http://www.twitter.com/amazonbooks&token=DAE2962CE50ED5476D31EC9336376A6BB3E6864B&source=standards,Amazon Books on Twitter
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=13270229011,Amazon Books Stores
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/firstreads?_encoding=UTF8&ref=afr_BHP%2F,Amazon First Reads
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Book-Club-Picks/b?ie=UTF8&node=8081575011,Book Club Picks
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Books-with-Buzz-Books/b?ie=UTF8&node=9093757011,Books with Buzz
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/From-Page-to-Screen-Books/b?ie=UTF8&node=6574866011,From Page to Screen
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Start-a-New-Series-Books/b?ie=UTF8&node=6574835011,Start a New Series
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/iss/credit/rewardscardmember?_encoding=UTF8&plattr=CBFOOT,Amazon Rewards Visa Signature Cards
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/iss/credit/storecardmember?_encoding=UTF8&plattr=PLCCFOOT,Amazon.com Store Card
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/dp/B07984JN3L?_encoding=UTF8&ie=UTF-8&plattr=ACOMFO,Amazon Business Card
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/dp/B07CBJQS16?_encoding=UTF8&ie=UTF-8&place=camp&plattr=CCLFOOT&pr=ibprox,Amazon.com Corporate Credit Line
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/b?ie=UTF8&node=16218619011,Shop with Points
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/compare-credit-card-offers/b?ie=UTF8&node=3561432011,Credit Card Marketplace
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/Reload-Your-Gift-Card-Balance/b?ie=UTF8&node=10232440011,Reload Your Balance
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/Currency-Converter/b?ie=UTF8&node=388305011,Amazon Currency Converter
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/css/homepage.html,Your Account
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fservices.amazon.com%2Fcontent%2Fsell-on-amazon.htm%2Fref%3Dfooter_soa%3Fld%3DAZFSSOA&source=standards&token=6D14D9F0E8CC2831C68BA56C95FCDC34988C3979,Sell on Amazon
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com/l/ref=map_1_b2b_GW_FT?node=17882322011,Sell Under Private Brands
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fservices.amazon.com%2Fhandmade%2Fhandmade.html%3Fld%3DAZUSHNDFooter&source=standards&token=0DB36349EAB72B987928A46EC862BDF86C9039B4,Sell on Amazon Handmade
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fservices.amazon.com%2Fselling-services%2Fbenefits.htm%3Fld%3DAZUSVAS-globalfooter&source=standards&token=C11D6CD96DB34C590F5368F18106AAC385ECAAC6,Sell Your Services on Amazon
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://services.amazon.com/amazon-business.html?ld=usb2bunifooter,Sell on Amazon Business
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://developer.amazon.com,Sell Your Apps on Amazon
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://affiliate-program.amazon.com/,Become an Affiliate
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,https://advertising.amazon.com/?ref=ext_amzn_ftr,Advertise Your Products
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/seller-account/mm-summary-page.html?ie=UTF8&ld=AZFooterSelfPublish&topic=200260520,Self-Publish with Us
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/New-Used-Textbooks-Books/b?ie=UTF8&node=465600,Textbooks Store
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Rent-Textbooks/b?ie=UTF8&node=5657188011,Textbook Rentals
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Sell-Books/b?ie=UTF8&node=2205237011,Sell Us Your Books
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Kindle-eTextbooks/b?ie=UTF8&node=2223210011,Kindle eTextbooks
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Audible-Audiobooks/b?ie=UTF8&node=2402172011,Audible Audiobooks
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Kindle-eBooks/b?ie=UTF8&node=154606011,Kindle eBooks
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=11552285011,Kindle Deals
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/gp/kindle/ku/sign-up/ui/rw/about,Kindle Unlimited
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/kindle-dbs/fd/prime-pr,Prime Reading
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Books/b?ie=UTF8&node=549028,The New York Times® Best Sellers
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/css/order-history,Your Orders
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/help/customer/display.html?ie=UTF8&nodeId=468520,Shipping Rates & Policies
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/prime,Amazon Prime
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/css/returns/homepage.html,Returns & Replacements
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/digital/fiona/manage,Manage Your Content and Devices
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/BIT/ref=footer_bit_v2_us_A0029?bitCampaignCode=A0029,Amazon Assistant
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/help/customer/display.html?ie=UTF8&nodeId=508510,Help
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/help/customer/display.html?ie=UTF8&nodeId=508088,Conditions of Use
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/gp/help/customer/display.html?ie=UTF8&nodeId=468496,Privacy Notice
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b/?_encoding=UTF8&ld=AZUSSOA-seeall&node=13605942011,See all
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/iss/credit/rewardscardmember?_encoding=UTF8&plattr=CBFOOT,Amazon Rewards Visa Signature Cards
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/iss/credit/storecardmember?_encoding=UTF8&plattr=PLCCFOOT,Amazon.com Store Card
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/dp/B07984JN3L?_encoding=UTF8&ie=UTF-8&plattr=ACOMFO,Amazon Business Card
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/dp/B07CBJQS16?_encoding=UTF8&ie=UTF-8&place=camp&plattr=CCLFOOT&pr=ibprox,Amazon.com Corporate Credit Line
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=16218619011,Shop with Points
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/compare-credit-card-offers/b?ie=UTF8&node=3561432011,Credit Card Marketplace
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Reload-Your-Gift-Card-Balance/b?ie=UTF8&node=10232440011,Reload Your Balance
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Currency-Converter/b?ie=UTF8&node=388305011,Amazon Currency Converter
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/css/homepage.html,Your Account
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/css/order-history,Your Orders
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=3062169011,China Books
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/b?ie=UTF8&node=16568978011,Libros en Español
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/Accessories-Books/b?ie=UTF8&node=265040,"Stationery, Journals & Notebooks"
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,https://www.amazon.jobs,Careers
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,https://blog.aboutamazon.com/?utm_source=gateway&utm_medium=footer,Blog
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,https://www.aboutamazon.com/?utm_source=gateway&utm_medium=footer,About Amazon
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,https://www.amazon.com/pr,Press Center
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,https://www.amazon.com/ir,Investor Relations
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,/amazon-devices/b?ie=UTF8&node=2102313011,Amazon Devices
<200 https://www.amazon.com/books-used-books-textbooks/b?ie=UTF8&node=283155>,https://www.amazon.com:443/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fservices.amazon.com%2Fcontent%2Fsell-on-amazon.htm%2Fref%3Dfooter_soa%3Fld%3DAZFSSOA&source=standards&token=6D14D9F0E8CC2831C68BA56C95FCDC34988C3979,Sell on Amazon
<200 https://www.amazon.com/Computer-Science-Information-Systems-Books/b?ie=UTF8&node=468204>,/interestbasedads/ref=footer_iba,Interest-Based Ads
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/help/customer/display.html?ie=UTF8&nodeId=468520,Shipping Rates & Policies
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/prime,Amazon Prime
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/css/returns/homepage.html,Returns & Replacements
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/gp/digital/fiona/manage,Manage Your Content and Devices
